url,name,ingredients,steps,rating,prep_time,cook_time,total_time,nb_servings,image
https://www.allrecipes.com/recipe/85185/authentic-mexican-breakfast-tacos/,Mexican Breakfast Tacos,"['6 ounces chorizo sausage', 'cooking spray', '6 large eggs', '¼ cup milk', '½ teaspoon salt', '½ teaspoon pepper', '8 (6 inch) corn tortillas', '1 cup shredded Monterey Jack cheese', '½ cup salsa', '1 dash hot pepper sauce (e.g. Tabasco™), or to taste']","['Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Remove sausage to a plate. Drain and discard grease; wipe the skillet clean with a paper towel.', 'Place the same skillet over medium heat and grease with cooking spray. Whisk together eggs, milk, salt, and pepper in a medium bowl; pour into the prepared skillet. Cook and gently stir until scrambled and almost dry. Add sausage; continue to cook and stir until firm.', 'Meanwhile, warm a second skillet over high heat. Cook tortillas until hot and crispy on the edges, but still pliable, about 45 seconds per side.', 'Sprinkle Monterey Jack cheese evenly onto hot tortillas. Top each with scrambled eggs, salsa, and hot pepper sauce.\n\n\n\n\n\n\n\n\n\n\n\nCaroline C']",,5 mins,10 mins,15 mins,4,https://www.allrecipes.com/thmb/odrT9aAOGLRf9LWTs6vYM6Ktoac=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x479:481x481)/19492-authentic-mexican-breakfast-tacos-Caroline-C-1x1-1-0c1bfce805084fda90e7862d1853d81e.jpg
https://www.allrecipes.com/recipe/133948/four-cheese-margherita-pizza/,Four Cheese Margherita Pizza,"['¼ cup olive oil', '1 tablespoon minced garlic', '½ teaspoon sea salt', '8  Roma tomatoes, sliced', '2 (12 inch) pre-baked pizza crusts', '8 ounces shredded Mozzarella cheese', '4 ounces shredded Fontina cheese', '10   fresh basil leaves, washed, dried', '½ cup freshly grated Parmesan cheese', '½ cup crumbled feta cheese']","['Stir together olive oil, garlic, and salt; toss with tomatoes, and allow to stand for 15 minutes. Preheat oven to 400 degrees F (200 degrees C).', 'Brush each pizza crust with some of the tomato marinade. Sprinkle the pizzas evenly with Mozzarella and Fontina cheeses. Arrange tomatoes overtop, then sprinkle with shredded basil, Parmesan, and feta cheese.', 'Bake in preheated oven until the cheese is bubbly and golden brown, about 10 minutes.']",,15 mins,10 mins,40 mins,8,https://www.allrecipes.com/thmb/JzPEFWn9c2oXOWdxt86muCDfhfs=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(619x989:621x991)/5225433-four-cheese-margherita-pizza-Christina-4x3-1-29b0fe4316b74017a5ae437e9ebb319d.jpg
https://www.allrecipes.com/recipe/143496/kimbop-korean-sushi/,Kimbop (Korean Sushi),"['1 cup uncooked glutinous white rice (sushi rice)', '1 ½ cups water', '1 tablespoon sesame oil', 'salt to taste', '2 large eggs, beaten', '4 sheets sushi nori (dry seaweed)', '1  cucumber, cut into thin strips', '1  carrot, cut into thin strips', '4 slices American processed cheese, cut into thin strips', '4 slices cooked ham, cut into thin strips', '2 teaspoons sesame oil']","['Rinse rice in a strainer or colander until water runs clear. Combine rice with 1 1/2 cups water in a saucepan. Bring to a boil, then reduce heat to low; cover and simmer until rice is tender, 12 to 14 minutes. Spread cooked rice onto a baking sheet to cool. Season with 1 tablespoon sesame oil and salt.', 'While rice is simmering, pour beaten eggs into a skillet over medium-high heat and allow to cook without stirring or turning to get a flat layer of cooked egg. When egg is completely cooked, remove from the skillet and set aside on a cutting board to cool.', 'Separate nori sheets onto a flat surface and divide cooled rice between them, leaving only a 1/2-inch strip seaweed visible at the top of each sheet. Arrange strips of egg, cucumber, carrot, cheese, and ham in thin layers over rice.', 'Beginning with the bottom of each sheet of nori, use a bamboo sushi mat to firmly roll each piece into a cylindrical shape. Brush each roll with 1/2 teaspoon sesame oil and cut into 6 equal pieces.']",,40 mins,20 mins,1 hr,4,https://www.allrecipes.com/thmb/a6GfGRmCI2a0uqEqmiJGmo2bJmk=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/3987640-f11078a582654cb5b3a32bf9aad3ff27.jpg
https://www.allrecipes.com/recipe/262622/indian-chicken-tikka-masala/,Indian Chicken Tikka Masala,"['1 (14.5 ounce) can chopped tomatoes', '4 tablespoons plain yogurt', '2 cloves garlic, roughly chopped', '1 (1 inch) piece ginger, coarsely chopped', '2 tablespoons vegetable oil', '1  onion, chopped', '2 tablespoons masala curry paste', '4  skinless, boneless chicken breasts, cut into 1-inch pieces', 'salt and freshly ground black pepper to taste', '¼ cup water', '1 tablespoon all-purpose flour', '3 tablespoons chopped fresh cilantro']","['Combine tomatoes, yogurt, garlic, and ginger in a blender and process until smooth.', 'Heat oil in a large frying pan over medium heat. Add onion and fry until soft, 3 to 4 minutes, stirring constantly. Stir in curry paste and fry until fragrant, 1 minute more, stirring once or twice. Add the tomato mixture and chicken to the pan and mix together. Season with salt and pepper. Remove pan from heat.', 'Mix water and flour together in a bowl. Stir into the chicken mixture in the frying pan. Return pan to the heat and bring to a boil, stirring constantly, about 5 minutes. Reduce heat to low, cover, and cook until thickened, about 15 minutes more. Sprinkle with cilantro and serve immediately.']",,20 mins,25 mins,45 mins,4,https://www.allrecipes.com/thmb/HnTuB0oR-HNUZE_i06FkAUZtzIY=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(739x689:741x691)/5133952-indian-chicken-tikka-masala-geneviever-4x3-1-3bb9baaf0fbd4397b378dd74ae929d28.jpg
https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/,Thai Green Curry Chicken,"['1 tablespoon dark soy sauce', '1 tablespoon all-purpose flour', '1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes', '2 tablespoons cooking oil', '2 tablespoons green curry paste', '2  green onions with tops, chopped', '3 cloves garlic, peeled and chopped', '1 teaspoon fresh ginger, peeled and finely chopped', '2 cups coconut milk', '2 tablespoons white sugar', '1 tablespoon fish sauce', '1 tablespoon dark soy sauce', '½ cup cilantro leaves, for garnish']","['Pour 1 tablespoon soy sauce into a shallow dish. Place 1 tablespoon flour into a separate shallow dish. Toss chicken pieces in soy sauce, then in flour, coating pieces evenly.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Heat oil in a large skillet over medium-high heat. Add chicken; cook and stir until browned, about 5 minutes. Transfer chicken to a plate; set aside.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Reduce heat to medium and stir in curry paste. Cook for 1 minute until fragrant. Add green onions, garlic, and ginger; cook an additional 2 minutes.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Return chicken to the skillet, stirring to coat with curry paste. Stir in coconut milk, sugar, fish sauce, and remaining 1 tablespoon soy sauce; simmer over medium heat until chicken is tender and cooked through, about 20 minutes. Serve curry with cilantro leaves.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios']",,20 mins,30 mins,50 mins,4,https://www.allrecipes.com/thmb/yY_Nh-b-WkbC2tnUK5rFluXWBDw=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/141833-thai-green-curry-chicken-ddmfs-Beauty-3x4-1-ac96aa4323744fd6b494c7f0ab59b4ca.jpg
https://www.allrecipes.com/recipe/220116/chinese-sweet-and-sour-chicken/,Chinese Sweet and Sour Chicken,"['½ cup soy sauce', '½ cup white sugar', '¼ cup vinegar', '1 tablespoon cornstarch', '1 tablespoon cold water', '1 ½ teaspoons chopped fresh ginger', '1  clove garlic, crushed', '¼ teaspoon black pepper', '4  skinless, boneless chicken breast halves']","['Combine soy sauce, sugar, vinegar, cornstarch, cold water, ginger, garlic, and black pepper in a bowl. Add chicken breasts to marinade and stir to coat.', 'Pour marinade and chicken into a 9x9-inch square baking dish. Cover and marinate chicken in the refrigerator for 1 hour.', 'Preheat the oven to 325 degrees F (165 degrees C).', 'Bake chicken in marinade in the preheated oven until meat is no longer pink in the center and juices run clear, about 40 minutes, turning halfway through cooking.']",,10 mins,40 mins,1 hr 50 mins,4,https://www.allrecipes.com/thmb/F2FJRl_ikhKnGoJz9OpjaGJEcF4=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1358x0:1360x2)/8566256-081d9ba1faf4458e8987e09d7ae04aab.jpg
https://www.allrecipes.com/recipe/240559/traditional-gyros/,Traditional Gyros,"['1 small onion, cut into chunks', '1 pound ground lamb', '1 pound ground beef', '1 tablespoon minced garlic', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon dried marjoram', '1 teaspoon dried thyme', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '¼ teaspoon sea salt', '12 tablespoons hummus', '12  pita bread rounds', '1 small head lettuce, shredded', '1 large tomato, sliced', '1 large red onion, sliced', '6 ounces crumbled feta cheese', '24 tablespoons tzatziki sauce']","['Place onion in a food processor and finely chop. Transfer onion to a piece of cheesecloth and squeeze out the liquid. Place onion in a large bowl.', 'Mix lamb, beef, garlic, oregano, cumin, marjoram, thyme, rosemary, black pepper, and salt with the onion using your hands until well mixed. Cover bowl with plastic wrap and refrigerate until flavors blend, about 2 hours.', 'Preheat the oven to 325 degrees F (165 degrees C).', 'Place meat mixture in a food processor and pulse until finely chopped and tacky, about 1 minute. Pack meat mixture into a 7x4-inch loaf pan, ensuring there are no air pockets. Place the loaf pan into a roasting pan and pour enough boiling water around the loaf pan to reach halfway up the sides for a water bath.', 'Bake in the preheated oven until no longer pink in the center, 45 to 60 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Pour off any accumulated fat and cool slightly.', 'Thinly slice the cooked gyro meat loaf.', 'Spread 1 tablespoon hummus onto each pita bread. Then top each with some of the gyro meat slices, shredded lettuce, tomato slices, red onion slices, feta cheese crumbles, and 2 tablespoons tzatziki sauce to complete each sandwich.']",,15 mins,45 mins,3 hrs 15 mins,12,https://www.allrecipes.com/thmb/v9mFcM3YjYf-CjSgD4UBASJ7Wr4=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/1910259-c95245e555554b9d815279f69bf6198a.jpg
https://www.allrecipes.com/recipe/239230/chef-johns-coq-au-vin/,Chef John's Coq au Vin,"['6  bone-in, skin-on chicken thighs', 'kosher salt and freshly ground black pepper to taste', '8 ounces bacon, sliced crosswise into 1/2-inch pieces', '10 large button mushrooms, quartered', '½ large yellow onion, diced', '2  shallots, sliced', '2 teaspoons all-purpose flour', '2 teaspoons butter', '1 ½ cups red wine', '6 sprigs fresh thyme', '1 cup chicken broth']","['Preheat the oven to 375 degrees F (190 degrees C). Season chicken thighs all over with salt and black pepper.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Sauté bacon in a large, oven-proof skillet over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon with a slotted spoon to a paper towel-lined plate, leaving drippings in the skillet.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Increase the heat to high and place chicken thighs, skin-side down, into the skillet. Cook until browned, 2 to 4 minutes per side. Transfer chicken to a plate; drain and discard all but 1 tablespoon drippings from the skillet.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Lower the heat to medium-high; sauté mushrooms, onion, and shallots with a pinch of salt in the hot skillet until golden and caramelized, 7 to 12 minutes.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Stir flour and butter into vegetable mixture until completely incorporated, about 1 minute.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Pour red wine into the skillet and bring to a boil while scraping browned bits of food off of the bottom of the pan with a wooden spoon. Stir bacon and thyme into red wine mixture; simmer until wine is about 1/3 reduced, 3 to 5 minutes. Pour chicken broth into wine mixture and return chicken thighs to the skillet; bring to a simmer.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Transfer the skillet to the preheated oven and cook for 30 minutes. Spoon pan juices over the chicken and continue cooking until no longer pink at the bone and the juices run clear, about 30 minutes more. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C). Transfer chicken to a platter.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios', 'Place skillet over high heat and reduce pan juices, skimming fat off the top as necessary, until sauce thickens slightly, about 5 minutes. Season with salt and pepper; remove and discard thyme. Pour sauce over chicken to serve.\n\n\n\n\n\n\n\n\n\n\n\nDotdash Meredith Food Studios']",,15 mins,1 hr 30 mins,1 hr 45 mins,6,https://www.allrecipes.com/thmb/1epPPoc9LzjRcJ0LyEo53NK7HMU=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/239230-chef-johns-coq-au-vin-MFS_364-357b537b2e324407b6559d6cc33e5738.jpg
https://www.allrecipes.com/recipe/84137/easy-paella/,Easy Paella,"['2 tablespoons olive oil', '1 tablespoon ground paprika', '2 teaspoons dried oregano', 'salt and ground black pepper to taste', '2 pounds skinless, boneless chicken breasts, cut into 2 inch pieces', '2 tablespoons olive oil, divided', '3 cloves garlic, crushed', '1 teaspoon crushed red pepper flakes', '2 cups uncooked short-grain white rice', '1 pinch saffron threads', '1 large bay leaf', '½ bunch Italian flat leaf parsley, chopped', '1 quart chicken stock', '2 medium lemons, zested', '2 tablespoons olive oil', '1 medium Spanish onion, chopped', '1 medium red bell pepper, coarsely chopped', '1 pound shrimp, peeled and deveined', '1 pound chorizo sausage, casings removed and crumbled']","['Mix olive oil, paprika, oregano, salt, and pepper for marinade in a glass bowl.', 'Begin paella: Add chicken and stir to coat. Cover and refrigerate until needed.', 'Heat 2 tablespoons olive oil in a large skillet or paella pan over medium heat. Stir in garlic and pepper flakes, then stir in rice. Cook and stir until rice is coated with oil, about 3 minutes.', 'Add saffron threads, bay leaf, parsley, chicken stock, and lemon zest. Stir until well combined and bring to a boil. Reduce heat to medium-low, cover, and simmer for 20 minutes.', 'While the rice is cooking, heat olive oil in a separate skillet over medium heat. Stir in marinated chicken and cook for 3 minutes. Add onion and cook until translucent, about 5 minutes.', 'Add bell pepper and sausage; cook and stir, breaking sausage up with a spatula, for 5 minutes. Add shrimp; cook and stir until shrimp are bright pink on the outside and the meat is opaque, about 2 minutes.\n\n\n\n\n\n\n\n\n\n\n\nPhotographer: Jen Causey, Food Stylist: Ruth Blackburn', 'Spread rice mixture onto a serving tray. Top with meat and seafood mixture.\n\n\n\n\n\n\n\n\n\n\n\nDOTDASH MEREDITH FOOD STUDIOS\xa0']",,30 mins,30 mins,1 hr,8,https://www.allrecipes.com/thmb/tTA9bnbwfuGjlT_6jGcSOKFvyC4=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/84137-easy-paella-DDMFS-4x3-08712e61e7dc453d94673f65f9eca7d2.jpg
https://www.allrecipes.com/recipe/69633/stovetop-moroccan-tagine/,Stovetop Moroccan Tagine,"['1 tablespoon olive oil', '2  skinless, boneless chicken breast halves - cut into chunks', '½ medium onion, chopped', '3 cloves garlic, minced', '1 small butternut squash, peeled and chopped', '1 (15.5 ounce) can chickpeas, drained and rinsed', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (14 ounce) can vegetable broth', '1 medium carrot, peeled and chopped', '1 tablespoon sugar', '1 tablespoon lemon juice', '1 teaspoon salt', '1 teaspoon ground coriander', '1 pinch cayenne pepper']","['Heat oil in a large skillet over medium heat. Add chicken, onion, and garlic; cook and stir until onion is translucent and chicken is browned, about 15 minutes.', 'Add squash, chickpeas, undrained tomatoes, broth, carrot, sugar, lemon juice, salt, coriander, and cayenne pepper to the skillet. Bring mixture to a boil, then lower the heat slightly and simmer until vegetables are tender, about 30 minutes.']",,15 mins,50 mins,1 hr 5 mins,6,https://www.allrecipes.com/thmb/uExfEazxxX_3wvK9_9bzCFrT-bo=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/3918270-4a420b15b6a2406bbf82a3b9f900ad45.jpg
